model,# taxa,method_long,# sites,# genes,replicate,FN rate,data_revised,method,M2,M3,M4,sites_25,sites_50,sites_100,sites_200,genes_500,genes_1000
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,1,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,2,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,3,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,4,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,5,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,6,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,7,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,8,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,9,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,10,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,11,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,12,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,13,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,14,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,15,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,16,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,17,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,18,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,19,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,20,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,21,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,22,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,23,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,24,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,25,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,26,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,27,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,28,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,29,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,30,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,31,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,32,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,33,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
